Timestamp,SSIP,SSP,SDFP,SDFB,SFE,Status
2022-07-18_23:15:13.306651,0.4,1.6,0.5,27.0,1.6,0
2022-07-18_23:15:13.309375,0.4,1.6,0.5,27.0,1.6,0
2022-07-18_23:15:13.310084,0.4,1.6,0.5,27.0,1.6,0
2022-07-18_23:15:18.313410,0.4,3.6,0.5,27.0,3.6,0
2022-07-18_23:15:18.318547,0.4,3.6,0.5,27.0,3.6,0
2022-07-18_23:15:18.319181,0.4,3.6,0.5,27.0,3.6,0
2022-07-18_23:15:23.322677,0.4,5.6,0.5,27.0,5.6,0
2022-07-18_23:15:23.333495,0.4,5.6,0.5,27.0,5.6,0
2022-07-18_23:15:23.334390,0.4,5.6,0.5,27.0,5.6,0
2022-07-18_23:15:28.326500,0.4,7.6,0.5,27.0,7.6,0
2022-07-18_23:15:28.344444,0.4,7.6,0.5,27.0,7.6,0
2022-07-18_23:15:28.350606,0.4,7.6,0.5,27.0,7.6,0
2022-07-18_23:15:33.327209,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:15:33.338500,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:15:33.339847,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:15:38.373480,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:15:38.380924,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:15:38.381888,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:15:43.386141,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:15:43.393783,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:15:43.394628,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:15:48.387614,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:15:48.397478,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:15:48.400085,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:15:53.404986,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:15:53.405758,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:15:53.411229,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:15:58.398910,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:15:58.406690,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:15:58.408037,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:16:03.401307,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:16:03.408433,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:16:03.409055,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:16:08.412035,0.4,8.0,0.5,27.0,8.0,0
2022-07-18_23:16:08.412676,0.4,8.0,0.5,27.0,8.0,0
