Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
5	346	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
5	346	0	0	0.0	0.0	0.0	0.0	6	693	6	693	0.0	0.0	0.0	0.0	dns
5	346	0	0	0.0	0.0	0.0	0.0	6	693	6	693	0.0	0.0	0.0	0.0	dns
6	693	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
5	346	0	0	0.0	0.0	0.0	0.0	6	693	6	693	0.0	0.0	0.0	0.0	dns
6	693	0	0	0.0	0.0	0.0	0.0	5	346	5	346	0.0	0.0	0.0	0.0	dns
5	346	0	0	0.0	0.0	0.0	0.0	6	693	6	693	0.0	0.0	0.0	0.0	dns
6	693	0	0	0.0	0.0	0.0	0.0	5	346	5	346	0.0	0.0	0.0	0.0	dns
5	346	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	dns
5	346	0	0	0.0	0.0	0.0	0.0	6	693	6	693	0.0	0.0	0.0	0.0	dns
6	693	0	0	0.0	0.0	0.0	0.0	5	346	5	346	0.0	0.0	0.0	0.0	dns
5	346	0	0	0.0	0.0	0.0	0.0	6	693	6	693	0.0	0.0	0.0	0.0	dns
5	346	0	0	0.0	0.0	0.0	0.0	6	693	6	693	0.0	0.0	0.0	0.0	dns
6	693	0	0	0.0	6.0	0.0	693.0	5	346	5	346	0.0	0.0	0.0	0.0	dns
5	346	0	0	0.0	0.0	0.0	0.0	6	693	6	693	0.0	0.0	0.0	0.0	dns
5	346	0	0	0.0	0.0	0.0	0.0	6	693	6	693	0.0	0.0	0.0	0.0	dns
6	693	0	0	0.0	6.0	0.0	693.0	5	346	0	0	0.0	5.0	0.0	346.0	dns
5	346	0	0	0.0	0.0	0.0	0.0	6	693	6	693	0.0	0.0	0.0	0.0	dns
5	346	0	0	0.0	5.0	0.0	346.0	6	693	6	693	0.0	0.0	0.0	0.0	dns
