Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
6	516	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
6	516	0	0	0.0	0.0	0.0	0.0	5	346	5	346	0.0	0.0	0.0	0.0	voice
6	516	0	0	0.0	0.0	0.0	0.0	5	346	5	346	0.0	0.0	0.0	0.0	voice
5	346	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
6	516	0	0	0.0	0.0	0.0	0.0	5	346	5	346	0.0	0.0	0.0	0.0	voice
5	346	0	0	0.0	0.0	0.0	0.0	6	516	6	516	0.0	0.0	0.0	0.0	voice
6	516	0	0	0.0	0.0	0.0	0.0	5	346	5	346	0.0	0.0	0.0	0.0	voice
5	346	0	0	0.0	0.0	0.0	0.0	6	516	6	516	0.0	0.0	0.0	0.0	voice
5	346	0	0	0.0	0.0	0.0	0.0	0	0	0	0	0.0	0.0	0.0	0.0	voice
6	516	0	0	0.0	0.0	0.0	0.0	5	346	5	346	0.0	0.0	0.0	0.0	voice
5	346	0	0	0.0	0.0	0.0	0.0	6	516	6	516	0.0	0.0	0.0	0.0	voice
5	346	0	0	0.0	0.0	0.0	0.0	6	516	6	516	0.0	0.0	0.0	0.0	voice
6	516	0	0	0.0	0.0	0.0	0.0	5	346	5	346	0.0	0.0	0.0	0.0	voice
5	346	0	0	0.0	0.0	0.0	0.0	6	516	6	516	0.0	0.0	0.0	0.0	voice
5	346	0	0	0.0	5.0	0.0	346.0	6	516	6	516	0.0	0.0	0.0	0.0	voice
6	516	0	0	0.0	0.0	0.0	0.0	5	346	5	346	0.0	0.0	0.0	0.0	voice
5	346	0	0	0.0	0.0	0.0	0.0	6	516	6	516	0.0	0.0	0.0	0.0	voice
5	346	0	0	0.0	5.0	0.0	346.0	53	7942	47	7426	47.0	53.0	7426.0	7942.0	voice
6	516	0	0	0.0	0.0	0.0	0.0	5	346	5	346	0.0	0.0	0.0	0.0	voice
5	346	0	0	0.0	5.0	0.0	346.0	6	516	6	516	0.0	0.0	0.0	0.0	voice
5	346	0	0	0.0	5.0	0.0	346.0	53	7942	47	7426	47.0	53.0	7426.0	7942.0	voice
6	516	0	0	0.0	0.0	0.0	0.0	5	346	5	346	0.0	0.0	0.0	0.0	voice
5	346	0	0	0.0	5.0	0.0	346.0	53	7942	47	7426	47.0	53.0	7426.0	7942.0	voice
5	346	0	0	0.0	5.0	0.0	346.0	53	7942	47	7426	47.0	53.0	7426.0	7942.0	voice
53	7942	47	7426	47.0	53.0	7426.0	7942.0	5	346	5	346	0.0	0.0	0.0	0.0	voice
5	346	0	0	0.0	5.0	0.0	346.0	53	7942	47	7426	47.0	53.0	7426.0	7942.0	voice
5	346	0	0	0.0	5.0	0.0	346.0	53	7942	47	7426	47.0	53.0	7426.0	7942.0	voice
53	7942	47	7426	47.0	53.0	7426.0	7942.0	5	346	0	0	0.0	5.0	0.0	346.0	voice
5	346	0	0	0.0	5.0	0.0	346.0	53	7942	47	7426	47.0	53.0	7426.0	7942.0	voice
5	346	0	0	0.0	5.0	0.0	346.0	53	7942	47	7426	47.0	53.0	7426.0	7942.0	voice
53	7942	47	7426	47.0	53.0	7426.0	7942.0	5	346	0	0	0.0	5.0	0.0	346.0	voice
5	346	0	0	0.0	2.5	0.0	173.0	53	7942	47	7426	47.0	53.0	7426.0	7942.0	voice
5	346	0	0	0.0	5.0	0.0	346.0	53	7942	47	7426	47.0	53.0	7426.0	7942.0	voice
53	7942	47	7426	47.0	53.0	7426.0	7942.0	5	346	0	0	0.0	5.0	0.0	346.0	voice
5	346	0	0	0.0	2.5	0.0	173.0	101	15526	48	7584	48.0	50.5	7584.0	7763.0	voice
5	346	0	0	0.0	5.0	0.0	346.0	53	7942	47	7426	47.0	53.0	7426.0	7942.0	voice
101	15526	48	7584	48.0	50.5	7584.0	7763.0	5	346	0	0	0.0	5.0	0.0	346.0	voice
5	346	0	0	0.0	2.5	0.0	173.0	101	15526	48	7584	48.0	50.5	7584.0	7763.0	voice
5	346	0	0	0.0	5.0	0.0	346.0	53	7942	47	7426	47.0	53.0	7426.0	7942.0	voice
101	15526	48	7584	48.0	50.5	7584.0	7763.0	5	346	0	0	0.0	2.5	0.0	173.0	voice
5	346	0	0	0.0	2.5	0.0	173.0	101	15526	48	7584	48.0	50.5	7584.0	7763.0	voice
5	346	0	0	0.0	5.0	0.0	346.0	53	7942	47	7426	47.0	53.0	7426.0	7942.0	voice
101	15526	48	7584	48.0	50.5	7584.0	7763.0	5	346	0	0	0.0	2.5	0.0	173.0	voice
5	346	0	0	0.0	2.5	0.0	173.0	101	15526	48	7584	48.0	50.5	7584.0	7763.0	voice
5	346	0	0	0.0	2.5	0.0	173.0	53	7942	47	7426	47.0	53.0	7426.0	7942.0	voice
101	15526	48	7584	48.0	50.5	7584.0	7763.0	5	346	0	0	0.0	2.5	0.0	173.0	voice
5	346	0	0	0.0	2.5	0.0	173.0	101	15526	48	7584	48.0	50.5	7584.0	7763.0	voice
